;customer_id;date_registered;username_masked;gender;address_masked;email_masked;birthdate_masked;residence_masked;employer;job;age_range;salary_range;credit_card_provider;credit_card_number_tokenized;credit_card_security_code_tokenized;credit_card_expire
0;24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd;2021-09-29;r**********n;M;246xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;m*******@hotmail.com;XXXX-XX-XX;195*****************************************;Byrd, Welch and Holt;Chief Technology Officer;46-60;30K-60K;RN8574;2080682386107530;6959;**/**
1;7b2bc220-0296-4914-ba46-d6cc6a55a62a;2019-08-17;e*****a;F;421xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;a*************@hotmail.com;XXXX-XX-XX;582*********************************************;Hurst PLC;Data scientist;31-45;60K-100K;OA1080;6785713047431080;6419;**/**
2;06febdf9-07fb-4a1b-87d7-a5f97d9a5faf;2019-11-01;t*********n;M;073xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;v****@gmail.com;XXXX-XX-XX;368*********************************************;Mora, Caldwell and Guerrero;Chief Operating Officer;46-60;200K+;KJ9734;3222086617739250;4083;**/**
3;23df88e5-5dd3-46af-ac0d-0c6bd92e4b96;2021-12-31;r*************l;F;PSCxxxxxxxxxxxxxxxxxxxxxxxxxxxx;k*********@gmail.com;XXXX-XX-XX;317**************************************;Patel PLC;Counselling psychologist;31-45;100K-150K;MY4274;7154652565571110;6901;**/**
4;6069c2d7-7905-4993-a155-64f6aba143b1;2020-08-09;t************n;F;032xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;j*******@hotmail.com;XXXX-XX-XX;219*************************************;Smith-Mejia;Mining engineer;46-60;100K-150K;YI4672;7565523226282190;7687;**/**
5;aee2c6aa-c9a4-488c-9e10-6a09dbe2f199;2021-12-29;b*********s;M;PSCxxxxxxxxxxxxxxxxxxxxxxxxxxxx;c************@hotmail.com;XXXX-XX-XX;767*************************************************;Wolf, Perez and Bryant;Civil Service administrator;46-60;30K-60K;WO9357;8703802872682680;3628;**/**
6;4d52c646-8cc7-4935-9119-130be16518ba;2019-09-13;l**********e;F;756xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;i******@gmail.com;XXXX-XX-XX;PSC****************************;Kim, Lucero and Brown;Fast food restaurant manager;46-60;150K-200K;DB9069;2150642549164870;9648;**/**
7;2a8e2be0-7e41-4a56-9092-7a6258e4d5a1;2021-10-06;k***********h;F;733xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;r***********@yahoo.com;XXXX-XX-XX;430******************************************;Chavez-Patterson;Editor, magazine features;46-60;60K-100K;YE2045;4796797684144130;7438;**/**
8;906fc563-00bb-4974-9e8a-d3d97608ad64;2021-11-01;s****9;F;024xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;m***********@gmail.com;XXXX-XX-XX;347************************************;Watson-Park;Patent examiner;61+;150K-200K;XR1102;2677064384675820;7006;**/**
9;44f14da1-5b00-4b6a-bfe4-5be67a4b2521;2020-04-01;s***********h;F;823xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;m********@gmail.com;XXXX-XX-XX;319****************************************;Forbes-Richards;Sports coach;19-30;60K-100K;KC7749;3095597863704530;7472;**/**
